,Year,Team,Conference,UID,YearTeamNumbers
95,2021,McNeese,Southland,2021.SB.McNeese,510719
96,2021,Eastern Ill.,OVC,2021.SB.EasternIll,510582
97,2021,Indiana,Big Ten,2021.SB.Indiana,510686
98,2021,Robert Morris,Horizon,2021.SB.RobertMorris,510486
99,2021,Weber St.,Big Sky,2021.SB.WeberSt,510550
100,2021,Howard,MEAC,2021.SB.Howard,510680
101,2021,Saint Joseph's,Atlantic 10,2021.SB.SaintJoseph's,510492
102,2021,Houston Christian,Southland,2021.SB.HoustonChristian,510678
103,2021,Siena,MAAC,2021.SB.Siena,510503
104,2021,Ohio St.,Big Ten,2021.SB.OhioSt,510467
105,2021,UIC,Horizon,2021.SB.UIC,510684
106,2021,Marist,MAAC,2021.SB.Marist,510713
107,2021,Southeastern La.,Southland,2021.SB.SoutheasternLa,510511
108,2021,UAlbany,America East,2021.SB.UAlbany,510626
109,2021,Illinois,Big Ten,2021.SB.Illinois,510683
110,2021,Middle Tenn.,CUSA,2021.SB.MiddleTenn,510725
111,2021,Baylor,Big 12,2021.SB.Baylor,510636
112,2021,Auburn,SEC,2021.SB.Auburn,510632
113,2021,Lehigh,Patriot,2021.SB.Lehigh,510701
114,2021,Kansas City,Summit League,2021.SB.KansasCity,510611
115,2021,UConn,Big East,2021.SB.UConn,510568
116,2021,Green Bay,Horizon,2021.SB.GreenBay,510596
117,2021,Northwestern St.,Southland,2021.SB.NorthwesternSt,510463
118,2021,Winthrop,Big South,2021.SB.Winthrop,510595
119,2021,Colgate,Patriot,2021.SB.Colgate,510565
120,2021,George Mason,Atlantic 10,2021.SB.GeorgeMason,510664
121,2021,Norfolk St.,MEAC,2021.SB.NorfolkSt,510749
122,2021,LMU-CA,WCC,2021.SB.LMU-CA,510709
123,2021,Evansville,MVC,2021.SB.Evansville,510584
124,2021,Mercer,SoCon,2021.SB.Mercer,510721
125,2021,NC State,ACC,2021.SB.NCState,510454
126,2021,Kent St.,MAC,2021.SB.KentSt,510696
127,2021,Western Caro.,SoCon,2021.SB.WesternCaro,510551
128,2021,Bowling Green,MAC,2021.SB.BowlingGreen,510642
129,2021,Kennesaw St.,ASUN,2021.SB.KennesawSt,510606
130,2021,South Carolina,SEC,2021.SB.SouthCarolina,510506
131,2021,Nebraska,Big Ten,2021.SB.Nebraska,510741
132,2021,Lipscomb,ASUN,2021.SB.Lipscomb,510617
133,2021,Hofstra,CAA,2021.SB.Hofstra,510676
134,2021,Prairie View,SWAC,2021.SB.PrairieView,510478
135,2021,Creighton,Big East,2021.SB.Creighton,510571
136,2021,Pacific,WCC,2021.SB.Pacific,510473
137,2021,Penn,Ivy League,2021.SB.Penn,510475
138,2021,Detroit Mercy,Horizon,2021.SB.DetroitMercy,510577
139,2021,Brown,Ivy League,2021.SB.Brown,510645
140,2021,Jacksonville St.,OVC,2021.SB.JacksonvilleSt,510692
141,2021,Army West Point,Patriot,2021.SB.ArmyWestPoint,510541
142,2021,Massachusetts,Atlantic 10,2021.SB.Massachusetts,510718
143,2021,Longwood,Big South,2021.SB.Longwood,510704
144,2021,North Florida,ASUN,2021.SB.NorthFlorida,510612
145,2021,Bradley,MVC,2021.SB.Bradley,510643
146,2021,Coastal Carolina,Sun Belt,2021.SB.CoastalCarolina,510564
